"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Stay Safe In A Severe Thunderstorm https://t.co/J9IcXQpOeE https://t.co/xKPAi6Y6hl",FALSE,0,NA,2019-05-10 19:01:03,FALSE,NA,"1126925131471773696",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","melissa_mlynne",0,FALSE,FALSE,NA,NA
"@TheRealTimPaul We are very sorry to hear about this. How can we assist you? - Dave",FALSE,0,"TheRealTimPaul",2019-05-10 18:18:30,FALSE,"1126913900480540672","1126914425108279296","3194722499","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"RT @GEICO: We'd like to wish all the moms out there a very happy #MothersDay! Stay tuned for the Best of GEICO commercial starring Spy Mom…",FALSE,0,NA,2019-05-10 18:06:12,FALSE,NA,"1126911326977232897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jonathanotcher1",2,TRUE,FALSE,NA,NA
"@msbethmann I apologize that you have not received your gift card.  We'd be happy to look into this matter for you.… https://t.co/1SjVNYs4eK",FALSE,0,"msbethmann",2019-05-10 18:06:00,TRUE,"1126910113078554624","1126911278650404864","16212894","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"RT @FONZNationalZoo: 🍢🍷🦏 Check out our segment from @LetsTalkLiveDC on @ABC7News with @LuigiDiotaiuti from @AlTiramisu and @apertodc https:…",FALSE,0,NA,2019-05-10 17:46:26,FALSE,NA,"1126906354042589187",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlTiramisu",1,TRUE,FALSE,NA,NA
"We'd like to wish all the moms out there a very happy #MothersDay! Stay tuned for the Best of GEICO commercial star… https://t.co/mSePleQcjI",FALSE,1,NA,2019-05-10 17:46:23,TRUE,NA,"1126906341061201920",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO",2,FALSE,FALSE,NA,NA
"RT @GEICO: GEICO's Chevy Chase, Md., associates collected over 1000 personal care and toiletry items to make 180 care bags, which were dona…",FALSE,0,NA,2019-05-10 17:41:20,FALSE,NA,"1126905070161944577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jonathanotcher1",1,TRUE,FALSE,NA,NA
"GEICO's Chevy Chase, Md., associates collected over 1000 personal care and toiletry items to make 180 care bags, wh… https://t.co/sqr8Vqlo6L",FALSE,0,NA,2019-05-10 17:40:01,TRUE,NA,"1126904738082185216",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO",1,FALSE,FALSE,NA,NA
"@AylaForTrump Tell that doofus Neanderthal that he should go back to making Geico commercials and STFU",FALSE,0,"AylaForTrump",2019-05-10 17:36:26,FALSE,"1126900783088320512","1126903839443914752","987968680494551040","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","royal_copeland",0,FALSE,FALSE,NA,NA
"RT @GEICO: Are GEICO Smartdogs the answer to curbing distracted driving? Maybe.",FALSE,0,NA,2019-05-10 17:30:00,FALSE,NA,"1126902218257510402",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarkNaughton4",40,TRUE,FALSE,NA,NA
"@sandy_b05 You can reach an agent 24 hours a day, 7 days a week by calling 1-800-841-3000. - Joe",FALSE,0,"sandy_b05",2019-05-10 17:22:00,FALSE,"1126899771443048448","1126900205301972993","235667028","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@craftnerd I apologize for the unwanted emails.  We'd be happy to remove your email from our marketing list.  We'd… https://t.co/O1AJplQuAW",FALSE,0,"craftnerd",2019-05-10 16:02:50,TRUE,"1126878905879670784","1126880281775038464","248740467","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"🍢🍷🦏 Check out our segment from @LetsTalkLiveDC on @ABC7News with @LuigiDiotaiuti from @AlTiramisu and @apertodc… https://t.co/UAKefQzq2r",FALSE,0,NA,2019-05-10 15:49:00,TRUE,NA,"1126876800792051713",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","FONZNationalZoo",1,FALSE,FALSE,NA,NA
"@ThUnknwnDiamond I apologize for any inconvenience you've experienced with your billing.  If you'd like to speak wi… https://t.co/VC6wWChp5g",FALSE,0,"ThUnknwnDiamond",2019-05-10 15:46:01,TRUE,"1126875629029404672","1126876052213641216","2891038316","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@Colee_sayzs I apologize for the poor service you've received with your claim.  We'd hate to lose your business.  I… https://t.co/aRAMQOaJg6",FALSE,0,"Colee_sayzs",2019-05-10 15:43:00,TRUE,"1126874239208964098","1126875291866095616","194407464","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@Rhenaebz I apologize for the poor service you've received with your claim.  If you'd like to speak with an agent a… https://t.co/pTc6JNikGP",FALSE,1,"Rhenaebz",2019-05-10 15:18:58,TRUE,"1126868890229923842","1126869241829965824","30733481","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"@Maybek8e Thank you for sharing this.  We are glad to hear you received excellent service, which is always our goal. - Joe",FALSE,1,"Maybek8e",2019-05-10 14:51:27,FALSE,"1126861191379390467","1126862318766297089","354952486","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","GEICO_Service",0,FALSE,FALSE,NA,NA
"RT @GEICO: Are GEICO Smartdogs the answer to curbing distracted driving? Maybe.",FALSE,0,NA,2019-05-10 14:42:45,FALSE,NA,"1126860127225700352",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bikermimijimmie",40,TRUE,FALSE,NA,NA
